Wall time,Step,Value
1558302979.2373385,1,1.33065664768219
1558303033.2396684,101,0.7159400582313538
1558303075.7387717,201,0.04635600000619888
1558303118.9396293,301,0.7595751285552979
1558303162.6243362,401,0.0004231866041664034
1558303205.5123045,501,0.2008872628211975
1558303248.9570904,601,2.5187817300320603e-05
1558303292.438863,701,0.88157057762146
1558303334.9159648,801,0.5334371328353882
1558303380.0432005,901,0.07614649832248688
1558303422.799211,1001,0.43791401386260986
1558303553.2785206,1101,0.4774155914783478
1558303595.6896448,1201,0.32477232813835144
1558303638.2807148,1301,0.20400233566761017
1558303684.072727,1401,0.5199986696243286
1558303726.6407998,1501,0.7658573389053345
1558303769.1378953,1601,0.5963265895843506
1558303811.7019699,1701,0.25172725319862366
1558303854.335022,1801,0.2857035994529724
1558303897.0620425,1901,0.00016867966041900218
1558303940.2299173,2001,0.2826696038246155
1558303982.7590022,2101,0.45310309529304504
1558304025.1471336,2201,3.230630682082847e-05
1558304157.83772,2301,0.36549022793769836
1558304200.4117904,2401,0.017906617373228073
1558304242.8419077,2501,0.7724205255508423
1558304288.7788782,2601,0.0006566325901076198
1558304331.3109627,2701,0.31144726276397705
1558304373.9380164,2801,0.4197072684764862
1558304416.831981,2901,0.19911351799964905
1558304459.8938918,3001,0.12826333940029144
1558304502.732876,3101,0.6131417751312256
1558304545.1310103,3201,0.928432047367096
1558304587.704075,3301,0.15778908133506775
1558304723.7315688,3401,0.41682860255241394
1558304766.3586228,3501,0.062090322375297546
1558304808.8847086,3601,0.2534438371658325
1558304853.4341328,3701,0.37159377336502075
1558304895.7992716,3801,1.3971371117804665e-05
1558304938.2993662,3901,0.0007362012402154505
1558304980.8164551,4001,0.20001356303691864
1558305023.6274483,4101,0.31598547101020813
1558305066.020578,4201,0.45054811239242554
1558305108.9095507,4301,0.34819844365119934
1558305151.3276672,4401,5.641041207127273e-05
1558305194.218634,4501,3.2731204555602744e-06
1558305251.1869953,4601,0.07670004665851593
1558305295.4365172,4701,0.17305181920528412
1558305337.9486084,4801,0.4332473874092102
1558305380.433708,4901,0.2949706017971039
1558305426.5926065,5001,1.9556839106371626e-05
1558305469.022723,5101,0.08402203023433685
1558305511.5278163,5201,1.0319006378267659e-06
1558305553.8649657,5301,3.8416987990785856e-07
1558305596.3870516,5401,0.18010133504867554
1558305639.293014,5501,0.2006351798772812
1558305681.7351272,5601,7.79048377808067e-07
1558305724.2862067,5701,0.04332427680492401
1558305767.1661766,5801,4.187030299362959e-06
1558305809.787231,5901,0.052740104496479034
1558305949.2486012,6001,0.03517980873584747
1558305991.7466972,6101,3.271821242378792e-06
1558306034.2677846,6201,0.06699888408184052
1558306076.8798435,6301,0.024180281907320023
1558306120.427596,6401,0.22996976971626282
1558306163.8233967,6501,0.21754145622253418
1558306208.7546966,6601,0.1467205137014389
1558306252.1544957,6701,0.03400352597236633
1558306294.846528,6801,0.051251381635665894
1558306339.8258114,6901,0.16585305333137512
1558306382.2609277,7001,0.11151768267154694
1558306424.7050412,7101,0.08931538462638855
1558306481.6404126,7201,2.3459499516320648e-06
1558306525.6400166,7301,0.06687866151332855
1558306568.0431428,7401,0.050212182104587555
1558306610.4062836,7501,0.0663491040468216
1558306652.630469,7601,0.1615612953901291
1558306695.1015716,7701,0.03713797777891159
1558306737.7446203,7801,0.03489295020699501
1558306779.9478114,7901,1.4388928093467257e-07
1558306822.4119186,8001,0.02659516967833042
1558306868.3029034,8101,0.0834450051188469
1558306910.7080293,8201,0.061849385499954224
1558306953.2371144,8301,0.10056295990943909
1558306995.8351798,8401,0.04342368245124817
1558307137.5917976,8501,0.047299958765506744
1558307180.056903,8601,0.03815869241952896
1558307222.5100126,8701,1.5180540913206642e-07
1558307265.291016,8801,1.633947476875619e-06
1558307307.8860793,8901,3.026798012228937e-08
1558307353.820051,9001,0.014943800866603851
1558307399.501107,9101,1.3643861507262045e-07
1558307441.8272567,9201,0.14458739757537842
1558307484.2303827,9301,0.06575677543878555
1558307526.6465065,9401,0.07576347142457962
1558307569.321543,9501,0.023945070803165436
1558307611.8156407,9601,0.04348241537809372
1558307670.1035683,9701,0.044370755553245544
1558307712.8685758,9801,0.11689925193786621
1558307756.527292,9901,0.1314929723739624
1558307799.472241,10001,0.046142466366291046
1558307841.7544074,10101,0.059706397354602814
1558307887.3165016,10201,0.011162986978888512
1558307930.4563856,10301,0.05181223526597023
1558307972.9504817,10401,0.06356772780418396
1558308015.3046257,10501,0.020092163234949112
1558308058.1845963,10601,2.2724259451933904e-07
1558308100.694688,10701,0.028668571263551712
1558308143.4107106,10801,0.028724905103445053
1558308186.3116736,10901,6.668097967121867e-07
1558308229.0596876,11001,0.005182126071304083
1558308368.0022285,11101,0.03161831945180893
1558308410.568301,11201,0.012853940948843956
1558308452.9954207,11301,7.413194680339075e-07
1558308495.649467,11401,0.014433511532843113
1558308538.6084092,11501,0.01229687500745058
1558308581.05852,11601,0.053002696484327316
1558308624.4163342,11701,0.030480334535241127
1558308666.899434,11801,0.010495588183403015
1558308711.1839466,11901,0.007546545937657356
1558308753.7600157,12001,8.474992085893973e-08
1558308796.3210907,12101,0.06261688470840454
1558308933.886081,12201,0.02463103085756302
1558308976.2202296,12301,0.023626036942005157
1558309018.8672762,12401,0.017244992777705193
1558309062.4270244,12501,1.862644793959589e-08
1558309105.5559156,12601,0.02249259315431118
1558309148.0600066,12701,0.02300640568137169
1558309192.8493533,12801,0.007993909530341625
1558309235.582371,12901,0.03640664368867874
1558309278.0434787,13001,0.024750767275691032
1558309320.6835287,13101,0.050857387483119965
1558309364.097323,13201,0.03121885284781456
1558309406.4704595,13301,0.10352227091789246
1558309465.8960164,13401,0.02928151562809944
1558309508.4760854,13501,0.020763549953699112
1558309550.8592181,13601,0.019439049065113068
1558309593.393302,13701,0.05862092226743698
1558309639.0293708,13801,0.12299452722072601
1558309681.4624872,13901,0.008161842823028564
1558309724.197537,14001,0.06340063363313675
1558309766.6486156,14101,0.012084688991308212
1558309809.074735,14201,0.007446920499205589
1558309854.90374,14301,0.05323689058423042
1558309897.3668485,14401,0.023898309096693993
1558309940.02489,14501,0.009677794761955738
1558309989.260781,14601,0.024487894028425217
1558310032.173742,14701,4.6566125955216364e-10
1558310156.2821348,14801,0.02140253782272339
1558310198.71925,14901,7.916240107874728e-09
1558310241.1543663,15001,2.7939675018018306e-09
1558310283.5754862,15101,0.06795487552881241
1558310325.9166334,15201,0.030564839020371437
1558310368.295768,15301,0.05020838975906372
1558310410.7438817,15401,0.02919512800872326
1558310453.0610335,15501,0.021040521562099457
1558310495.7770572,15601,0.012301864102482796
1558310538.384118,15701,0.008923575282096863
1558310580.9851792,15801,0.005522731691598892
1558310628.6045985,15901,0.006277982145547867
1558310750.1948178,16001,0.008082159794867039
1558310792.4809823,16101,4.6566125955216364e-10
1558310834.716163,16201,0.011576387099921703
1558310878.6547868,16301,1.881260658365136e-07
1558310920.8339868,16401,0.02028461918234825
1558310963.335081,16501,0.048263728618621826
1558311005.9231498,16601,0.05935504287481308
1558311048.2772894,16701,0.0
1558311090.6174364,16801,1.3038502721940404e-08
1558311133.09258,16901,0.008205062709748745
1558311175.4566793,17001,0.06033461168408394
1558311217.912788,17101,0.030057549476623535
1558311274.0514274,17201,1.8626449271863521e-09
1558311316.533521,17301,0.014874504879117012
1558311359.5284538,17401,0.016858607530593872
1558311408.5924017,17501,0.009831519797444344
1558311451.0735016,17601,0.06372605264186859
1558311493.5176158,17701,0.13503439724445343
1558311539.126692,17801,0.02703622728586197
1558311581.6477802,17901,0.014850419946014881
1558311623.9349449,18001,4.6566125955216364e-10
1558311666.2031145,18101,2.686842890398111e-07
1558311708.616238,18201,0.024699237197637558
1558311751.321266,18301,0.04984632879495621
1558311794.2332292,18401,0.005702270194888115
1558311925.6842175,18501,1.7967807934837765e-06
1558311968.3342628,18601,0.027955856174230576
1558312010.8303587,18701,0.0
1558312056.5304065,18801,0.007398299872875214
1558312098.9725204,18901,1.8626450382086546e-09
1558312141.415634,19001,0.017089977860450745
1558312187.110686,19101,0.06492152810096741
1558312229.4878185,19201,0.01190505176782608
